150 253 ,READING,3
175 228 ,READING,3
200 203 ,READING,3
225 178 ,READING,3
250 153 ,READING,3
275 128 ,READING,3
300 105 ,READING,3
325 84 ,READING,3
350 67 ,READING,3
375 54 ,READING,3
400 42 ,READING,3
425 34 ,READING,3
450 27 ,READING,3
475 23 ,READING,3
500 19 ,READING,3
525 17 ,READING,3
550 17 ,READING,3
575 18 ,READING,3
600 20 ,READING,3
625 22 ,READING,3
650 26 ,READING,3
675 31 ,READING,3
700 36 ,READING,3
725 42 ,READING,3
750 50 ,READING,3
775 59 ,READING,3
795 67 ,READING,3
180 209 ,READING,4
200 189 ,READING,4
225 164 ,READING,4
250 139 ,READING,4
275 115 ,READING,4
300 95 ,READING,4
325 79 ,READING,4
350 64 ,READING,4
375 52 ,READING,4
400 42 ,READING,4
425 33 ,READING,4
450 26 ,READING,4
475 20 ,READING,4
500 15 ,READING,4
525 12 ,READING,4
550 11 ,READING,4
575 11 ,READING,4
600 11 ,READING,4
625 12 ,READING,4
650 14 ,READING,4
675 17 ,READING,4
700 20 ,READING,4
725 25 ,READING,4
750 30 ,READING,4
775 37 ,READING,4
800 45 ,READING,4
825 55 ,READING,4
850 67 ,READING,4
875 82 ,READING,4
900 100 ,READING,4
925 122 ,READING,4
940 137 ,READING,4
220 175 ,READING,5
225 170 ,READING,5
250 149 ,READING,5
275 130 ,READING,5
300 112 ,READING,5
325 96 ,READING,5
350 82 ,READING,5
375 68 ,READING,5
400 55 ,READING,5
425 44 ,READING,5
450 33 ,READING,5
475 25 ,READING,5
500 20 ,READING,5
525 16 ,READING,5
550 14 ,READING,5
575 13 ,READING,5
600 13 ,READING,5
625 14 ,READING,5
650 15 ,READING,5
675 17 ,READING,5
700 19 ,READING,5
725 21 ,READING,5
750 24 ,READING,5
775 28 ,READING,5
800 33 ,READING,5
825 39 ,READING,5
850 46 ,READING,5
875 54 ,READING,5
900 63 ,READING,5
925 74 ,READING,5
950 87 ,READING,5
955 89 ,READING,5
260 164 ,READING,6
275 150 ,READING,6
300 128 ,READING,6
325 108 ,READING,6
350 91 ,READING,6
375 74 ,READING,6
400 59 ,READING,6
425 46 ,READING,6
450 35 ,READING,6
475 27 ,READING,6
500 22 ,READING,6
525 18 ,READING,6
550 16 ,READING,6
575 14 ,READING,6
600 13 ,READING,6
625 13 ,READING,6
650 14 ,READING,6
675 15 ,READING,6
700 16 ,READING,6
725 19 ,READING,6
750 22 ,READING,6
775 27 ,READING,6
800 32 ,READING,6
825 39 ,READING,6
850 47 ,READING,6
875 55 ,READING,6
900 65 ,READING,6
925 77 ,READING,6
950 91 ,READING,6
970 103 ,READING,6
300 118 ,READING,7
325 100 ,READING,7
350 85 ,READING,7
375 71 ,READING,7
400 59 ,READING,7
425 48 ,READING,7
450 37 ,READING,7
475 29 ,READING,7
500 23 ,READING,7
525 19 ,READING,7
550 16 ,READING,7
575 15 ,READING,7
600 14 ,READING,7
625 14 ,READING,7
650 14 ,READING,7
675 15 ,READING,7
700 17 ,READING,7
725 19 ,READING,7
750 21 ,READING,7
775 25 ,READING,7
800 30 ,READING,7
825 36 ,READING,7
850 43 ,READING,7
875 50 ,READING,7
900 59 ,READING,7
925 69 ,READING,7
950 80 ,READING,7
975 93 ,READING,7
980 95 ,READING,7
330 114 ,READING,8
350 99 ,READING,8
375 82 ,READING,8
400 68 ,READING,8
425 55 ,READING,8
450 45 ,READING,8
475 36 ,READING,8
500 29 ,READING,8
525 23 ,READING,8
550 18 ,READING,8
575 16 ,READING,8
600 14 ,READING,8
625 13 ,READING,8
650 13 ,READING,8
675 14 ,READING,8
700 15 ,READING,8
725 16 ,READING,8
750 18 ,READING,8
775 22 ,READING,8
800 26 ,READING,8
825 32 ,READING,8
850 39 ,READING,8
875 47 ,READING,8
900 57 ,READING,8
925 69 ,READING,8
950 83 ,READING,8
975 98 ,READING,8
990 109 ,READING,8
350 133 ,READING,9
375 109 ,READING,9
400 89 ,READING,9
425 72 ,READING,9
450 57 ,READING,9
475 44 ,READING,9
500 32 ,READING,9
525 22 ,READING,9
550 15 ,READING,9
575 13 ,READING,9
600 11 ,READING,9
625 11 ,READING,9
650 11 ,READING,9
675 12 ,READING,9
700 13 ,READING,9
725 15 ,READING,9
750 17 ,READING,9
775 20 ,READING,9
800 25 ,READING,9
825 32 ,READING,9
850 40 ,READING,9
875 50 ,READING,9
900 61 ,READING,9
925 75 ,READING,9
950 92 ,READING,9
975 112 ,READING,9
995 130 ,READING,9
370 123 ,READING,10
375 119 ,READING,10
400 97 ,READING,10
425 78 ,READING,10
450 63 ,READING,10
475 49 ,READING,10
500 38 ,READING,10
525 29 ,READING,10
550 22 ,READING,10
575 18 ,READING,10
600 15 ,READING,10
625 13 ,READING,10
650 12 ,READING,10
675 12 ,READING,10
700 12 ,READING,10
725 13 ,READING,10
750 15 ,READING,10
775 17 ,READING,10
800 21 ,READING,10
825 25 ,READING,10
850 31 ,READING,10
875 38 ,READING,10
900 47 ,READING,10
925 58 ,READING,10
950 70 ,READING,10
975 85 ,READING,10
999 101 ,READING,10
