150 107 ,WRITING,3
175 82 ,WRITING,3
200 61 ,WRITING,3
225 45 ,WRITING,3
250 34 ,WRITING,3
275 26 ,WRITING,3
300 21 ,WRITING,3
325 18 ,WRITING,3
350 16 ,WRITING,3
375 14 ,WRITING,3
400 13 ,WRITING,3
425 12 ,WRITING,3
450 12 ,WRITING,3
475 14 ,WRITING,3
500 19 ,WRITING,3
525 24 ,WRITING,3
550 29 ,WRITING,3
575 33 ,WRITING,3
600 37 ,WRITING,3
625 45 ,WRITING,3
650 56 ,WRITING,3
675 74 ,WRITING,3
680 79 ,WRITING,3
190 65 ,WRITING,4
200 60 ,WRITING,4
225 47 ,WRITING,4
250 37 ,WRITING,4
275 30 ,WRITING,4
300 25 ,WRITING,4
325 22 ,WRITING,4
350 18 ,WRITING,4
375 16 ,WRITING,4
400 14 ,WRITING,4
425 13 ,WRITING,4
450 12 ,WRITING,4
475 13 ,WRITING,4
500 14 ,WRITING,4
525 17 ,WRITING,4
550 20 ,WRITING,4
575 24 ,WRITING,4
600 29 ,WRITING,4
625 35 ,WRITING,4
650 42 ,WRITING,4
675 51 ,WRITING,4
700 62 ,WRITING,4
725 75 ,WRITING,4
730 78 ,WRITING,4
220 51 ,WRITING,5
225 49 ,WRITING,5
250 39 ,WRITING,5
275 32 ,WRITING,5
300 27 ,WRITING,5
325 23 ,WRITING,5
350 21 ,WRITING,5
375 18 ,WRITING,5
400 16 ,WRITING,5
425 14 ,WRITING,5
450 13 ,WRITING,5
475 13 ,WRITING,5
500 14 ,WRITING,5
525 16 ,WRITING,5
550 18 ,WRITING,5
575 21 ,WRITING,5
600 25 ,WRITING,5
625 29 ,WRITING,5
650 34 ,WRITING,5
675 40 ,WRITING,5
700 49 ,WRITING,5
725 59 ,WRITING,5
750 73 ,WRITING,5
775 91 ,WRITING,5
780 94 ,WRITING,5
230 50 ,WRITING,6
250 42 ,WRITING,6
275 34 ,WRITING,6
300 29 ,WRITING,6
325 25 ,WRITING,6
350 23 ,WRITING,6
375 21 ,WRITING,6
400 19 ,WRITING,6
425 17 ,WRITING,6
450 15 ,WRITING,6
475 14 ,WRITING,6
500 14 ,WRITING,6
525 15 ,WRITING,6
550 18 ,WRITING,6
575 21 ,WRITING,6
600 23 ,WRITING,6
625 27 ,WRITING,6
650 30 ,WRITING,6
675 35 ,WRITING,6
700 42 ,WRITING,6
725 50 ,WRITING,6
750 60 ,WRITING,6
775 72 ,WRITING,6
800 86 ,WRITING,6
825 101 ,WRITING,6
840 112 ,WRITING,6
240 46 ,WRITING,7
250 43 ,WRITING,7
275 36 ,WRITING,7
300 31 ,WRITING,7
325 28 ,WRITING,7
350 26 ,WRITING,7
375 24 ,WRITING,7
400 23 ,WRITING,7
425 22 ,WRITING,7
450 19 ,WRITING,7
475 17 ,WRITING,7
500 16 ,WRITING,7
525 17 ,WRITING,7
550 18 ,WRITING,7
575 19 ,WRITING,7
600 21 ,WRITING,7
625 23 ,WRITING,7
650 26 ,WRITING,7
675 30 ,WRITING,7
700 34 ,WRITING,7
725 39 ,WRITING,7
750 45 ,WRITING,7
775 52 ,WRITING,7
800 60 ,WRITING,7
825 69 ,WRITING,7
850 80 ,WRITING,7
875 93 ,WRITING,7
890 102 ,WRITING,7
250 49 ,WRITING,8
275 40 ,WRITING,8
300 34 ,WRITING,8
325 29 ,WRITING,8
350 26 ,WRITING,8
375 24 ,WRITING,8
400 23 ,WRITING,8
425 21 ,WRITING,8
450 19 ,WRITING,8
475 18 ,WRITING,8
500 17 ,WRITING,8
525 17 ,WRITING,8
550 18 ,WRITING,8
575 19 ,WRITING,8
600 20 ,WRITING,8
625 22 ,WRITING,8
650 24 ,WRITING,8
675 26 ,WRITING,8
700 30 ,WRITING,8
725 35 ,WRITING,8
750 42 ,WRITING,8
775 50 ,WRITING,8
800 59 ,WRITING,8
825 70 ,WRITING,8
850 83 ,WRITING,8
875 98 ,WRITING,8
900 115 ,WRITING,8
910 124 ,WRITING,8
260 44 ,WRITING,9
275 40 ,WRITING,9
300 34 ,WRITING,9
325 30 ,WRITING,9
350 27 ,WRITING,9
375 26 ,WRITING,9
400 24 ,WRITING,9
425 23 ,WRITING,9
450 21 ,WRITING,9
475 20 ,WRITING,9
500 19 ,WRITING,9
525 18 ,WRITING,9
550 18 ,WRITING,9
575 19 ,WRITING,9
600 21 ,WRITING,9
625 23 ,WRITING,9
650 25 ,WRITING,9
675 29 ,WRITING,9
700 33 ,WRITING,9
725 38 ,WRITING,9
750 44 ,WRITING,9
775 50 ,WRITING,9
800 58 ,WRITING,9
825 66 ,WRITING,9
850 75 ,WRITING,9
875 86 ,WRITING,9
900 98 ,WRITING,9
925 113 ,WRITING,9
930 116 ,WRITING,9
270 44 ,WRITING,10
275 43 ,WRITING,10
300 37 ,WRITING,10
325 32 ,WRITING,10
350 29 ,WRITING,10
375 26 ,WRITING,10
400 23 ,WRITING,10
425 20 ,WRITING,10
450 18 ,WRITING,10
475 16 ,WRITING,10
500 17 ,WRITING,10
525 18 ,WRITING,10
550 20 ,WRITING,10
575 22 ,WRITING,10
600 25 ,WRITING,10
625 27 ,WRITING,10
650 30 ,WRITING,10
675 33 ,WRITING,10
700 36 ,WRITING,10
725 40 ,WRITING,10
750 45 ,WRITING,10
775 50 ,WRITING,10
800 56 ,WRITING,10
825 63 ,WRITING,10
850 71 ,WRITING,10
875 80 ,WRITING,10
900 90 ,WRITING,10
925 102 ,WRITING,10
950 116 ,WRITING,10
