names.provided,names.sgp,names.type,names.info,names.output
ID,ID,individual,Unique student identifier,
LAST_NAME,LAST_NAME,label,Student last name,
FIRST_NAME,FIRST_NAME,label,Student first name,
CONTENT_AREA,CONTENT_AREA,content,Content area associated with record,
YEAR,YEAR,time,Year associated with record,
GRADE,GRADE,institution_level,Grade/Test level associated with record,
SCALE_SCORE,SCALE_SCORE,measure,Scale score,
ACHIEVEMENT_LEVEL,ACHIEVEMENT_LEVEL,measure,Achievement level,
GENDER,GENDER,demographic,Student gender,TRUE
ETHNICITY,ETHNICITY,demographic,Student ethnicity,TRUE
FREE_REDUCED_LUNCH_STATUS,FREE_REDUCED_LUNCH_STATUS,demographic,Student free and reduced lunch status,TRUE
ELL_STATUS,ELL_STATUS,demographic,Student ELL status,TRUE
IEP_STATUS,IEP_STATUS,demographic,Student IEP status,TRUE
GIFTED_TALENTED_PROGRAM_STATUS,GIFTED_TALENTED_PROGRAM_STATUS,demographic,Student Gifted and Talented status,TRUE
EMH_LEVEL,EMH_LEVEL,institution_type,Elementary/Middle/High School level flag,
SCHOOL_NAME,SCHOOL_NAME,label,School name,
SCHOOL_NUMBER,SCHOOL_NUMBER,institution,School number,
DISTRICT_NAME,DISTRICT_NAME,label,School name,
DISTRICT_NUMBER,DISTRICT_NUMBER,institution,District number,
SCHOOL_ENROLLMENT_STATUS,SCHOOL_ENROLLMENT_STATUS,institution_inclusion,School inclusion/accountability indicator,
DISTRICT_ENROLLMENT_STATUS,DISTRICT_ENROLLMENT_STATUS,institution_inclusion,District inclusion/accountability indicator,
STATE_ENROLLMENT_STATUS,STATE_ENROLLMENT_STATUS,institution_inclusion,State inclusion/accountability indicator,
VALID_CASE,VALID_CASE,individual_inclusion,Valid case indicator,
