names.sgp,names.sgp.type,names.sgp.info,names.sgp.output
ID,individual,Unique student identifier,
LAST_NAME,label,Student last name,
FIRST_NAME,label,Student first name,
CONTENT_AREA,content,Content area associated with record,
YEAR,time,Year associated with record,
GRADE,institution_level,Grade/Test level associated with record,
SCALE_SCORE,measure,Scale score,
ACHIEVEMENT_LEVEL,measure,Achievement level,
GENDER,demographic,Student gender,TRUE
ETHNICITY,demographic,Student ethnicity,TRUE
FREE_REDUCED_LUNCH_STATUS,demographic,Student free and reduced lunch status,TRUE
ELL_STATUS,demographic,Student ELL status,TRUE
IEP_STATUS,demographic,Student IEP status,TRUE
GIFTED_AND_TALENTED_PROGRAM_STATUS,demographic,Student gifted and talented program status,TRUE
SCHOOL_NUMBER,institution,School number,
SCHOOL_NAME,label,School name,
EMH_LEVEL,institution_type,Elementary/Middle/High School level flag,
DISTRICT_NUMBER,institution,District number,
DISTRICT_NAME,label,School name,
SCHOOL_ENROLLMENT_STATUS,institution_inclusion,School inclusion/accountability indicator,
DISTRICT_ENROLLMENT_STATUS,institution_inclusion,District inclusion/accountability indicator,
STATE_ENROLLMENT_STATUS,institution_inclusion,State inclusion/accountability indicator,
VALID_CASE,individual_inclusion,Valid case indicator,
